# stage|owner|artifacts|skill|kickoff_inputs|validate_required
0|User Input|0-IDEA.md|n/a||
1|Writer|1-BRAINSTORM.md|.github/skills/brainstorming-authoring/SKILL.md|0-IDEA.md|1-BRAINSTORM.md
2|Product Owner (with User/BA input)|2-USE-CASES.md|.github/skills/use-case-authoring/SKILL.md|0-IDEA.md and 1-BRAINSTORM.md|2-USE-CASES.md
3|Writer|3-NARRATIVE-VISION.md|.github/skills/content-writing-authoring/SKILL.md|2-USE-CASES.md|3-NARRATIVE-VISION.md
4|Graphic Artist|4-CONCEPT-STORYBOARD.md, 4-CONCEPT/|.github/skills/concept-storyboard-authoring/SKILL.md|2-USE-CASES.md and 3-NARRATIVE-VISION.md|4-CONCEPT-STORYBOARD.md and 4-CONCEPT/
5|Business Analyst|5-REQUIREMENTS.md|.github/skills/business-requirements-writing/SKILL.md|2-USE-CASES.md|5-REQUIREMENTS.md
6|Architect|6-ARCHITECTURE-RECOMMENDATIONS.md, 6-PARTS LIST.md|.github/skills/architecture-and-parts-authoring/SKILL.md|2-USE-CASES.md and 5-REQUIREMENTS.md|6-ARCHITECTURE-RECOMMENDATIONS.md and 6-PARTS LIST.md
7|Technical Lead|7-DESIGN-INSTRUCTIONS.md|.github/skills/design-instructions-authoring/SKILL.md|2-USE-CASES.md, 5-REQUIREMENTS.md, 6-ARCHITECTURE-RECOMMENDATIONS.md, 6-PARTS LIST.md|7-DESIGN-INSTRUCTIONS.md
8|Writer|8-TEXT-CONTENT.md, 8-TEXT/|.github/skills/content-writing-authoring/SKILL.md|2-USE-CASES.md and 7-DESIGN-INSTRUCTIONS.md|8-TEXT-CONTENT.md and 8-TEXT/
9|Graphic Artist|9-GRAPHIC-ASSETS.md, 9-GRAPHIC-ASSETS/, 9-DIAGRAMS/, 9-RESOURCES/|.github/skills/graphic-artwork-authoring/SKILL.md|2-USE-CASES.md, 7-DESIGN-INSTRUCTIONS.md, 8-TEXT-CONTENT.md|9-GRAPHIC-ASSETS.md, 9-GRAPHIC-ASSETS/ and 9-DIAGRAMS/
10|Developer|10-RELEASE-NOTES.md, 10-BUILD/|.github/skills/implementation-stage/SKILL.md, .github/skills/release-notes-writing/SKILL.md|2-USE-CASES.md, 7-DESIGN-INSTRUCTIONS.md, 8-TEXT-CONTENT.md, 9-GRAPHIC-ASSETS.md|10-RELEASE-NOTES.md and 10-BUILD/
11|Tester|11-TEST-CASES.md, 11-TEST-REPORT.md, 11-BUG-REPORT.md, 11-TESTS/specs/|.github/skills/test-case-authoring/SKILL.md, .github/skills/test-report-writing/SKILL.md, .github/skills/bug-report-writing/SKILL.md|2-USE-CASES.md, 10-RELEASE-NOTES.md, 10-BUILD/|11-TEST-CASES.md, 11-TEST-REPORT.md, 11-BUG-REPORT.md, 11-TESTS/
12|Prod Ops|`12-DEPLOYMENT-RESULTS.md`, `deploy.sh`, `.env.deploy`, `deploy/nginx.conf`, `11-TESTS/playwright.smoke.config.mjs`|.github/skills/prod-ops/SKILL.md|11-TEST-REPORT.md, 10-BUILD/, 11-TESTS/playwright.smoke.config.mjs|12-DEPLOYMENT-RESULTS.md and deploy/